Title,DOI,URL,QuerySets,Sources,From_Scopus,From_IEEE_Xplore,From_ScienceDirect,source
3D data augmentation and dual-branch model for robust face forgery detection,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216862698&partnerID=40&md5=067bae7db56f20def336a5b09deafefb,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216862698&partnerID=40&md5=067bae7db56f20def336a5b09deafefb,C,,0,0,0,Scopus
3D-CADet: Leveraging 3D Channel Attention for Improving Deepfake Video Detection,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008489588&partnerID=40&md5=b4d3755624de977b6eeebe07f9c884f2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008489588&partnerID=40&md5=b4d3755624de977b6eeebe07f9c884f2,C,,0,0,0,Scopus
A CNN Algorithm Based DeepFake Detection System,10.23919/INDIACom66777.2025.11115232,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11115232,C,,0,0,0,IEEE Xplore
A Comparative Analysis of Machine Learning and Deep Learning Approaches in Deepfake Detection,10.1109/TENSYMP61132.2024.10752209,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10752209,C,,0,0,0,IEEE Xplore
"A Comprehensive Comparative Analysis of Deepfake Detection Techniques in Visual, Audio, and Audio-Visual Domains",,,B,IEEE Xplore,0,1,0,
"A Comprehensive Comparative Analysis of Deepfake Detection Techniques in Visual, Audio, and Audio-Visual Domains",10.1109/IMSA61967.2024.10652683,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10652683,C,,0,0,0,IEEE Xplore
A Comprehensive Review of Deepfake Detection In Advanced Neural Network Architectures and Deep Learning Strategies,10.1109/GlobalAISummit62156.2024.10947978,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10947978,C,,0,0,0,IEEE Xplore
A Comprehensive Review on File Containers-Based Image and Video Forensics,,,B,ScienceDirect,0,0,1,
A Computer Vision Model to Identify Deepfakes to Combat Misinformation During Political Events,,,B,IEEE Xplore,0,1,0,
A Computer Vision Model to Identify Deepfakes to Combat Misinformation During Political Events,10.1109/UPCON62832.2024.10983603,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10983603,C,,0,0,0,IEEE Xplore
A Contemporary and Comprehensive Bibliometric Exposition on Deepfake Research and Trends,,,A|B,ScienceDirect,0,0,1,
A Deep Learning Framework for the Detection of Deepfake Audio,10.1109/ICBATS66542.2025.11258404,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11258404,C,,0,0,0,IEEE Xplore
A Deepfake Detection Method Based on Transformer Transformer Spatiotemporal Modeling,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015591220&partnerID=40&md5=7ffadf4866e0e8739199c638d1b041bd,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015591220&partnerID=40&md5=7ffadf4866e0e8739199c638d1b041bd,C,,0,0,0,Scopus
A Deepfake Detection Model Based on Optical Flow Estimation,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013051396&partnerID=40&md5=8706d200858ab922e026072b31642b44,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013051396&partnerID=40&md5=8706d200858ab922e026072b31642b44,C,,0,0,0,Scopus
A Deepfake Detection Model Based on the Integration of ResNet50 and LSTM,10.1109/ICETCI64844.2025.11084255,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11084255,C,,0,0,0,IEEE Xplore
A Deepfake detection technique using Recurrent Neural Network and EfficientNet,10.1109/ICCCNT61001.2024.10723875,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10723875,C,,0,0,0,IEEE Xplore
A Detailed Exploration to Deepfake: A Cybersecurity Threat,10.1109/SCEECS64059.2025.10940812,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10940812,C,,0,0,0,IEEE Xplore
A Dual-Branch CNN for Robust Detection of AI-Generated Facial Forgeries,,,B,IEEE Xplore,0,1,0,
A Dual-Network Architecture with Uncertainty-Aware Multimodal Fusion for Deepfake Detection,10.1109/ICCEA65460.2025.11103067,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11103067,C,,0,0,0,IEEE Xplore
